,ACTENMID,ACTMTMID,ACTWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
2379,23,25,8,23000.0,22000.0,19662.0
2434,34,32,9,21500.0,15000.0,15000.0
2480,30,28,9,16750.0,22500.0,23000.0
2512,21,20,8,19000.0,18000.0,17375.0
2513,23,21,7,19000.0,18000.0,17375.0
2576,31,30,8,22325.0,23000.0,20500.0
2597,23,24,7,18375.0,21500.0,23050.0
2631,27,29,8,16055.0,18000.0,17499.0
2639,25,25,9,18431.0,17064.0,17305.0
2652,25,26,9,27000.0,27000.0,25002.0
2675,23,22,7,13750.0,22250.0,19501.0
