,ACTENMID,ACTMTMID,ACTWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
1001,26,25,8,18750.0,23125.0,19500.0
1067,29,30,9,18022.0,19500.0,19500.0
1095,24,24,7,21502.0,20000.0,18937.0
1101,28,26,9,24777.0,24000.0,20719.0
1127,22,22,7,17250.0,16375.0,16083.0
