,ACTENMID,ACTMTMID,ACTWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
283,28,27,9,14250.0,19813.0,19500.0
352,33,35,9,19000.0,24472.0,25000.0
401,28,26,9,15000.0,21130.0,21500.0
505,26,26,9,23000.0,24028.5,21500.0
536,25,25,8,23230.0,22750.0,19500.0
552,30,28,7,15500.0,15500.0,15500.0
