,ACTENMID,ACTMTMID,ACTWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
1664,32,31,9,19650.0,19000.0,19000.0
1666,29,28,9,26500.0,27000.0,25000.0
1684,29,26,9,23000.0,24250.0,21000.0
1698,34,33,9,6850.0,6250.0,7500.0
