,SATVRMID,SATMTMID,SATWRMID,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN
1056,491,555,485,15850.0,17699.5,15000.0
1067,615,740,625,18022.0,19500.0,19500.0
1095,495,535,490,21502.0,20000.0,18937.0
1097,445,380,391,15511.5,19000.0,18247.5
1101,575,580,575,24777.0,24000.0,20719.0
1110,485,510,475,17124.0,19177.0,16519.0
1127,500,515,480,17250.0,16375.0,16083.0
1147,555,515,530,19000.0,18750.0,14000.0
1153,513,493,498,19826.0,18990.0,19000.0
1167,525,535,510,13750.0,14750.0,14900.0
